Category: All categories

Week,Amusement park: (Portugal)
2015-01-04,19
2015-01-11,37
2015-01-18,51
2015-01-25,47
2015-02-01,22
2015-02-08,28
2015-02-15,44
2015-02-22,30
2015-03-01,30
2015-03-08,21
2015-03-15,37
2015-03-22,52
2015-03-29,52
2015-04-05,67
2015-04-12,35
2015-04-19,28
2015-04-26,55
2015-05-03,47
2015-05-10,28
2015-05-17,50
2015-05-24,50
2015-05-31,40
2015-06-07,53
2015-06-14,57
2015-06-21,56
2015-06-28,63
2015-07-05,45
2015-07-12,63
2015-07-19,54
2015-07-26,81
2015-08-02,46
2015-08-09,76
2015-08-16,100
2015-08-23,25
2015-08-30,49
2015-09-06,42
2015-09-13,37
2015-09-20,62
2015-09-27,26
2015-10-04,28
2015-10-11,19
2015-10-18,22
2015-10-25,34
2015-11-01,23
2015-11-08,33
2015-11-15,32
2015-11-22,19
2015-11-29,21
2015-12-06,40
2015-12-13,65
2015-12-20,13
2015-12-27,31
