Category: All categories

Week,Wi-Fi: (Portugal)
2018-01-07,87
2018-01-14,80
2018-01-21,85
2018-01-28,86
2018-02-04,85
2018-02-11,78
2018-02-18,72
2018-02-25,76
2018-03-04,77
2018-03-11,84
2018-03-18,79
2018-03-25,84
2018-04-01,82
2018-04-08,76
2018-04-15,76
2018-04-22,83
2018-04-29,87
2018-05-06,69
2018-05-13,68
2018-05-20,64
2018-05-27,78
2018-06-03,83
2018-06-10,71
2018-06-17,80
2018-06-24,85
2018-07-01,85
2018-07-08,80
2018-07-15,88
2018-07-22,77
2018-07-29,90
2018-08-05,97
2018-08-12,96
2018-08-19,88
2018-08-26,92
2018-09-02,84
2018-09-09,93
2018-09-16,94
2018-09-23,89
2018-09-30,84
2018-10-07,74
2018-10-14,78
2018-10-21,83
2018-10-28,75
2018-11-04,83
2018-11-11,87
2018-11-18,95
2018-11-25,90
2018-12-02,74
2018-12-09,75
2018-12-16,86
2018-12-23,100
2018-12-30,90
