Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2011-01-02,25,93
2011-01-09,32,84
2011-01-16,31,81
2011-01-23,30,80
2011-01-30,29,81
2011-02-06,31,77
2011-02-13,27,77
2011-02-20,32,73
2011-02-27,29,73
2011-03-06,26,72
2011-03-13,34,66
2011-03-20,31,71
2011-03-27,29,68
2011-04-03,27,62
2011-04-10,20,64
2011-04-17,23,68
2011-04-24,28,65
2011-05-01,32,69
2011-05-08,31,70
2011-05-15,36,70
2011-05-22,39,67
2011-05-29,37,73
2011-06-05,34,66
2011-06-12,38,74
2011-06-19,31,62
2011-06-26,39,65
2011-07-03,32,76
2011-07-10,31,76
2011-07-17,35,72
2011-07-24,30,80
2011-07-31,22,84
2011-08-07,18,84
2011-08-14,17,78
2011-08-21,20,80
2011-08-28,17,77
2011-09-04,20,80
2011-09-11,19,76
2011-09-18,22,77
2011-09-25,24,77
2011-10-02,25,73
2011-10-09,23,73
2011-10-16,28,66
2011-10-23,25,75
2011-10-30,23,73
2011-11-06,26,75
2011-11-13,27,77
2011-11-20,25,80
2011-11-27,24,80
2011-12-04,23,86
2011-12-11,26,87
2011-12-18,16,89
2011-12-25,20,100
