Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2013-01-06,85,53
2013-01-13,81,56
2013-01-20,88,51
2013-01-27,79,55
2013-02-03,76,55
2013-02-10,62,50
2013-02-17,78,53
2013-02-24,84,50
2013-03-03,88,55
2013-03-10,73,58
2013-03-17,60,57
2013-03-24,70,62
2013-03-31,75,57
2013-04-07,88,50
2013-04-14,82,58
2013-04-21,76,52
2013-04-28,83,60
2013-05-05,79,49
2013-05-12,89,58
2013-05-19,97,64
2013-05-26,99,54
2013-06-02,81,57
2013-06-09,63,60
2013-06-16,64,56
2013-06-23,55,48
2013-06-30,47,51
2013-07-07,49,54
2013-07-14,55,58
2013-07-21,48,66
2013-07-28,41,63
2013-08-04,40,69
2013-08-11,34,72
2013-08-18,43,66
2013-08-25,43,74
2013-09-01,46,77
2013-09-08,52,70
2013-09-15,54,73
2013-09-22,59,73
2013-09-29,65,70
2013-10-06,65,66
2013-10-13,65,71
2013-10-20,68,59
2013-10-27,71,57
2013-11-03,75,64
2013-11-10,72,57
2013-11-17,75,61
2013-11-24,88,58
2013-12-01,100,56
2013-12-08,88,54
2013-12-15,67,59
2013-12-22,56,66
2013-12-29,65,70
