Category: All categories

Week,Novel: (Portugal)
2015-01-04,38
2015-01-11,31
2015-01-18,56
2015-01-25,39
2015-02-01,31
2015-02-08,37
2015-02-15,44
2015-02-22,42
2015-03-01,39
2015-03-08,37
2015-03-15,44
2015-03-22,61
2015-03-29,56
2015-04-05,35
2015-04-12,45
2015-04-19,48
2015-04-26,40
2015-05-03,15
2015-05-10,43
2015-05-17,36
2015-05-24,63
2015-05-31,50
2015-06-07,39
2015-06-14,58
2015-06-21,56
2015-06-28,46
2015-07-05,44
2015-07-12,60
2015-07-19,65
2015-07-26,75
2015-08-02,51
2015-08-09,65
2015-08-16,58
2015-08-23,56
2015-08-30,73
2015-09-06,63
2015-09-13,66
2015-09-20,46
2015-09-27,47
2015-10-04,46
2015-10-11,48
2015-10-18,55
2015-10-25,59
2015-11-01,46
2015-11-08,59
2015-11-15,43
2015-11-22,44
2015-11-29,38
2015-12-06,72
2015-12-13,52
2015-12-20,57
2015-12-27,56
2016-01-03,66
2016-01-10,49
2016-01-17,57
2016-01-24,57
2016-01-31,51
2016-02-07,45
2016-02-14,50
2016-02-21,81
2016-02-28,50
2016-03-06,54
2016-03-13,37
2016-03-20,61
2016-03-27,60
2016-04-03,47
2016-04-10,69
2016-04-17,44
2016-04-24,52
2016-05-01,61
2016-05-08,58
2016-05-15,50
2016-05-22,53
2016-05-29,46
2016-06-05,49
2016-06-12,57
2016-06-19,43
2016-06-26,60
2016-07-03,58
2016-07-10,28
2016-07-17,55
2016-07-24,52
2016-07-31,61
2016-08-07,77
2016-08-14,46
2016-08-21,64
2016-08-28,49
2016-09-04,71
2016-09-11,42
2016-09-18,72
2016-09-25,63
2016-10-02,62
2016-10-09,53
2016-10-16,71
2016-10-23,39
2016-10-30,45
2016-11-06,64
2016-11-13,68
2016-11-20,44
2016-11-27,68
2016-12-04,100
2016-12-11,56
2016-12-18,82
2016-12-25,81
