Category: All categories

Week,ebook: (Portugal)
2017-01-01,91
2017-01-08,85
2017-01-15,82
2017-01-22,85
2017-01-29,94
2017-02-05,70
2017-02-12,88
2017-02-19,83
2017-02-26,82
2017-03-05,62
2017-03-12,71
2017-03-19,88
2017-03-26,76
2017-04-02,57
2017-04-09,69
2017-04-16,72
2017-04-23,96
2017-04-30,57
2017-05-07,74
2017-05-14,77
2017-05-21,53
2017-05-28,74
2017-06-04,70
2017-06-11,84
2017-06-18,46
2017-06-25,70
2017-07-02,58
2017-07-09,92
2017-07-16,94
2017-07-23,66
2017-07-30,100
2017-08-06,85
2017-08-13,94
2017-08-20,74
2017-08-27,95
2017-09-03,78
2017-09-10,81
2017-09-17,69
2017-09-24,79
2017-10-01,85
2017-10-08,86
2017-10-15,78
2017-10-22,86
2017-10-29,71
2017-11-05,61
2017-11-12,77
2017-11-19,69
2017-11-26,70
2017-12-03,78
2017-12-10,95
2017-12-17,79
2017-12-24,48
2017-12-31,79
