Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2009-01-04,93,4
2009-01-11,80,0
2009-01-18,71,2
2009-01-25,76,0
2009-02-01,66,1
2009-02-08,74,0
2009-02-15,89,0
2009-02-22,72,0
2009-03-01,100,1
2009-03-08,91,2
2009-03-15,82,0
2009-03-22,90,1
2009-03-29,59,3
2009-04-05,58,1
2009-04-12,82,0
2009-04-19,75,0
2009-04-26,78,0
2009-05-03,83,2
2009-05-10,76,0
2009-05-17,76,1
2009-05-24,91,1
2009-05-31,79,1
2009-06-07,56,0
2009-06-14,71,0
2009-06-21,49,0
2009-06-28,54,2
2009-07-05,57,2
2009-07-12,50,2
2009-07-19,45,0
2009-07-26,46,0
2009-08-02,39,0
2009-08-09,37,0
2009-08-16,33,3
2009-08-23,35,1
2009-08-30,39,0
2009-09-06,30,0
2009-09-13,50,1
2009-09-20,48,3
2009-09-27,54,1
2009-10-04,50,2
2009-10-11,54,2
2009-10-18,62,1
2009-10-25,55,1
2009-11-01,66,1
2009-11-08,66,0
2009-11-15,69,0
2009-11-22,58,1
2009-11-29,54,0
2009-12-06,61,0
2009-12-13,58,1
2009-12-20,30,3
2009-12-27,38,2
