Category: All categories

Week,Tobacco: (Portugal)
2009-01-04,37
2009-01-11,23
2009-01-18,17
2009-01-25,26
2009-02-01,15
2009-02-08,33
2009-02-15,0
2009-02-22,81
2009-03-01,0
2009-03-08,18
2009-03-15,54
2009-03-22,39
2009-03-29,16
2009-04-05,0
2009-04-12,17
2009-04-19,0
2009-04-26,25
2009-05-03,21
2009-05-10,25
2009-05-17,54
2009-05-24,15
2009-05-31,48
2009-06-07,0
2009-06-14,18
2009-06-21,39
2009-06-28,100
2009-07-05,0
2009-07-12,0
2009-07-19,33
2009-07-26,0
2009-08-02,28
2009-08-09,34
2009-08-16,34
2009-08-23,17
2009-08-30,0
2009-09-06,0
2009-09-13,23
2009-09-20,28
2009-09-27,0
2009-10-04,46
2009-10-11,19
2009-10-18,0
2009-10-25,0
2009-11-01,47
2009-11-08,51
2009-11-15,27
2009-11-22,44
2009-11-29,38
2009-12-06,25
2009-12-13,0
2009-12-20,0
2009-12-27,60
