Category: All categories

Week,T-shirt: (Portugal)
2008-01-06,62
2008-01-13,43
2008-01-20,51
2008-01-27,48
2008-02-03,42
2008-02-10,53
2008-02-17,45
2008-02-24,51
2008-03-02,30
2008-03-09,46
2008-03-16,63
2008-03-23,61
2008-03-30,86
2008-04-06,49
2008-04-13,64
2008-04-20,51
2008-04-27,76
2008-05-04,78
2008-05-11,75
2008-05-18,53
2008-05-25,67
2008-06-01,61
2008-06-08,72
2008-06-15,76
2008-06-22,88
2008-06-29,75
2008-07-06,100
2008-07-13,55
2008-07-20,46
2008-07-27,67
2008-08-03,58
2008-08-10,65
2008-08-17,56
2008-08-24,59
2008-08-31,55
2008-09-07,56
2008-09-14,53
2008-09-21,54
2008-09-28,58
2008-10-05,49
2008-10-12,51
2008-10-19,48
2008-10-26,47
2008-11-02,33
2008-11-09,50
2008-11-16,43
2008-11-23,39
2008-11-30,62
2008-12-07,53
2008-12-14,46
2008-12-21,40
2008-12-28,51
