Category: All categories

Week,Novel: (Portugal)
2007-01-07,0
2007-01-14,0
2007-01-21,0
2007-01-28,35
2007-02-04,25
2007-02-11,31
2007-02-18,0
2007-02-25,22
2007-03-04,40
2007-03-11,52
2007-03-18,33
2007-03-25,0
2007-04-01,0
2007-04-08,34
2007-04-15,0
2007-04-22,40
2007-04-29,0
2007-05-06,28
2007-05-13,26
2007-05-20,34
2007-05-27,21
2007-06-03,46
2007-06-10,0
2007-06-17,0
2007-06-24,21
2007-07-01,0
2007-07-08,32
2007-07-15,96
2007-07-22,100
2007-07-29,47
2007-08-05,0
2007-08-12,0
2007-08-19,26
2007-08-26,22
2007-09-02,0
2007-09-09,0
2007-09-16,0
2007-09-23,14
2007-09-30,0
2007-10-07,0
2007-10-14,36
2007-10-21,44
2007-10-28,0
2007-11-04,21
2007-11-11,36
2007-11-18,28
2007-11-25,0
2007-12-02,0
2007-12-09,0
2007-12-16,18
2007-12-23,0
2007-12-30,39
2008-01-06,0
2008-01-13,42
2008-01-20,15
2008-01-27,51
2008-02-03,0
2008-02-10,30
2008-02-17,45
2008-02-24,36
2008-03-02,39
2008-03-09,50
2008-03-16,31
2008-03-23,33
2008-03-30,48
2008-04-06,32
2008-04-13,14
2008-04-20,34
2008-04-27,85
2008-05-04,25
2008-05-11,36
2008-05-18,46
2008-05-25,14
2008-06-01,0
2008-06-08,50
2008-06-15,34
2008-06-22,54
2008-06-29,38
2008-07-06,28
2008-07-13,0
2008-07-20,0
2008-07-27,41
2008-08-03,39
2008-08-10,43
2008-08-17,0
2008-08-24,26
2008-08-31,0
2008-09-07,0
2008-09-14,27
2008-09-21,36
2008-09-28,53
2008-10-05,27
2008-10-12,20
2008-10-19,65
2008-10-26,29
2008-11-02,0
2008-11-09,21
2008-11-16,19
2008-11-23,27
2008-11-30,28
2008-12-07,14
2008-12-14,0
2008-12-21,0
2008-12-28,12
