Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2010-01-03,42,93
2010-01-10,45,96
2010-01-17,45,97
2010-01-24,46,100
2010-01-31,48,99
2010-02-07,42,96
2010-02-14,35,95
2010-02-21,44,93
2010-02-28,42,91
2010-03-07,44,93
2010-03-14,41,91
2010-03-21,39,87
2010-03-28,26,82
2010-04-04,36,92
2010-04-11,47,89
2010-04-18,54,91
2010-04-25,46,83
2010-05-02,52,83
2010-05-09,49,72
2010-05-16,61,84
2010-05-23,63,78
2010-05-30,53,73
2010-06-06,43,81
2010-06-13,31,78
2010-06-20,26,75
2010-06-27,27,92
2010-07-04,28,81
2010-07-11,22,83
2010-07-18,23,77
2010-07-25,30,78
2010-08-01,24,82
2010-08-08,22,79
2010-08-15,23,93
2010-08-22,22,89
2010-08-29,19,87
2010-09-05,23,82
2010-09-12,31,91
2010-09-19,34,91
2010-09-26,34,75
2010-10-03,31,71
2010-10-10,38,76
2010-10-17,31,84
2010-10-24,35,65
2010-10-31,39,64
2010-11-07,37,66
2010-11-14,43,66
2010-11-21,38,69
2010-11-28,37,51
2010-12-05,35,60
2010-12-12,31,55
2010-12-19,20,47
2010-12-26,17,66
