Category: All categories

Week,Novel: (Portugal)
2016-01-03,70
2016-01-10,55
2016-01-17,66
2016-01-24,69
2016-01-31,57
2016-02-07,51
2016-02-14,51
2016-02-21,71
2016-02-28,56
2016-03-06,59
2016-03-13,46
2016-03-20,47
2016-03-27,58
2016-04-03,44
2016-04-10,69
2016-04-17,56
2016-04-24,58
2016-05-01,64
2016-05-08,60
2016-05-15,56
2016-05-22,50
2016-05-29,37
2016-06-05,50
2016-06-12,59
2016-06-19,56
2016-06-26,38
2016-07-03,55
2016-07-10,32
2016-07-17,58
2016-07-24,61
2016-07-31,66
2016-08-07,74
2016-08-14,46
2016-08-21,54
2016-08-28,49
2016-09-04,58
2016-09-11,52
2016-09-18,38
2016-09-25,72
2016-10-02,65
2016-10-09,44
2016-10-16,54
2016-10-23,43
2016-10-30,53
2016-11-06,70
2016-11-13,68
2016-11-20,68
2016-11-27,57
2016-12-04,90
2016-12-11,68
2016-12-18,100
2016-12-25,70
