Category: All categories

Week,Dessert: (Portugal)
2010-01-03,38
2010-01-10,33
2010-01-17,41
2010-01-24,40
2010-01-31,24
2010-02-07,35
2010-02-14,45
2010-02-21,49
2010-02-28,51
2010-03-07,38
2010-03-14,38
2010-03-21,45
2010-03-28,64
2010-04-04,24
2010-04-11,56
2010-04-18,34
2010-04-25,41
2010-05-02,45
2010-05-09,26
2010-05-16,65
2010-05-23,52
2010-05-30,31
2010-06-06,58
2010-06-13,33
2010-06-20,35
2010-06-27,47
2010-07-04,34
2010-07-11,63
2010-07-18,60
2010-07-25,41
2010-08-01,49
2010-08-08,49
2010-08-15,64
2010-08-22,52
2010-08-29,45
2010-09-05,37
2010-09-12,49
2010-09-19,57
2010-09-26,37
2010-10-03,42
2010-10-10,44
2010-10-17,48
2010-10-24,59
2010-10-31,28
2010-11-07,54
2010-11-14,45
2010-11-21,46
2010-11-28,35
2010-12-05,35
2010-12-12,69
2010-12-19,100
2010-12-26,81
