Category: All categories

Week,Restaurant: (Portugal)
2018-01-07,44
2018-01-14,46
2018-01-21,48
2018-01-28,46
2018-02-04,49
2018-02-11,67
2018-02-18,46
2018-02-25,49
2018-03-04,48
2018-03-11,46
2018-03-18,55
2018-03-25,67
2018-04-01,51
2018-04-08,48
2018-04-15,44
2018-04-22,57
2018-04-29,59
2018-05-06,58
2018-05-13,50
2018-05-20,49
2018-05-27,61
2018-06-03,54
2018-06-10,52
2018-06-17,51
2018-06-24,53
2018-07-01,60
2018-07-08,65
2018-07-15,71
2018-07-22,73
2018-07-29,72
2018-08-05,90
2018-08-12,100
2018-08-19,95
2018-08-26,81
2018-09-02,73
2018-09-09,65
2018-09-16,67
2018-09-23,61
2018-09-30,77
2018-10-07,51
2018-10-14,57
2018-10-21,54
2018-10-28,62
2018-11-04,51
2018-11-11,53
2018-11-18,57
2018-11-25,56
2018-12-02,62
2018-12-09,59
2018-12-16,58
2018-12-23,74
2018-12-30,76
