Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2018-01-07,82,45
2018-01-14,88,52
2018-01-21,85,53
2018-01-28,79,53
2018-02-04,74,50
2018-02-11,71,50
2018-02-18,82,54
2018-02-25,80,52
2018-03-04,82,55
2018-03-11,96,53
2018-03-18,84,53
2018-03-25,86,56
2018-04-01,83,58
2018-04-08,79,56
2018-04-15,89,54
2018-04-22,85,49
2018-04-29,91,55
2018-05-06,79,59
2018-05-13,81,55
2018-05-20,93,93
2018-05-27,78,77
2018-06-03,100,58
2018-06-10,83,74
2018-06-17,67,60
2018-06-24,59,59
2018-07-01,58,57
2018-07-08,55,65
2018-07-15,60,68
2018-07-22,59,70
2018-07-29,56,68
2018-08-05,51,64
2018-08-12,53,67
2018-08-19,56,67
2018-08-26,54,67
2018-09-02,59,61
2018-09-09,57,60
2018-09-16,59,61
2018-09-23,76,59
2018-09-30,69,58
2018-10-07,89,64
2018-10-14,74,67
2018-10-21,76,65
2018-10-28,68,65
2018-11-04,75,54
2018-11-11,77,68
2018-11-18,79,59
2018-11-25,81,59
2018-12-02,82,73
2018-12-09,67,63
2018-12-16,63,62
2018-12-23,50,74
2018-12-30,65,76
