Category: All categories

Week,Electricity: (Portugal)
2013-01-06,83
2013-01-13,63
2013-01-20,73
2013-01-27,65
2013-02-03,54
2013-02-10,51
2013-02-17,47
2013-02-24,99
2013-03-03,74
2013-03-10,59
2013-03-17,46
2013-03-24,67
2013-03-31,57
2013-04-07,49
2013-04-14,44
2013-04-21,52
2013-04-28,100
2013-05-05,52
2013-05-12,55
2013-05-19,43
2013-05-26,62
2013-06-02,48
2013-06-09,34
2013-06-16,33
2013-06-23,36
2013-06-30,33
2013-07-07,37
2013-07-14,32
2013-07-21,35
2013-07-28,33
2013-08-04,34
2013-08-11,33
2013-08-18,33
2013-08-25,34
2013-09-01,32
2013-09-08,33
2013-09-15,37
2013-09-22,39
2013-09-29,37
2013-10-06,44
2013-10-13,57
2013-10-20,49
2013-10-27,47
2013-11-03,56
2013-11-10,47
2013-11-17,50
2013-11-24,53
2013-12-01,58
2013-12-08,53
2013-12-15,43
2013-12-22,47
2013-12-29,56
