Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2010-01-03,65,30
2010-01-10,73,31
2010-01-17,69,32
2010-01-24,73,32
2010-01-31,76,30
2010-02-07,68,31
2010-02-14,55,24
2010-02-21,69,28
2010-02-28,64,28
2010-03-07,67,35
2010-03-14,65,26
2010-03-21,60,29
2010-03-28,45,25
2010-04-04,56,31
2010-04-11,72,34
2010-04-18,85,33
2010-04-25,75,27
2010-05-02,79,26
2010-05-09,76,27
2010-05-16,94,33
2010-05-23,100,34
2010-05-30,82,24
2010-06-06,66,28
2010-06-13,47,35
2010-06-20,39,29
2010-06-27,46,29
2010-07-04,45,34
2010-07-11,38,38
2010-07-18,36,25
2010-07-25,47,29
2010-08-01,42,37
2010-08-08,32,17
2010-08-15,37,22
2010-08-22,36,29
2010-08-29,30,28
2010-09-05,35,29
2010-09-12,51,36
2010-09-19,52,32
2010-09-26,47,30
2010-10-03,52,24
2010-10-10,57,30
2010-10-17,49,28
2010-10-24,55,36
2010-10-31,62,27
2010-11-07,60,28
2010-11-14,61,33
2010-11-21,60,36
2010-11-28,57,23
2010-12-05,55,26
2010-12-12,47,31
2010-12-19,33,21
2010-12-26,29,22
