Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2011-01-02,69,16
2011-01-09,82,14
2011-01-16,81,17
2011-01-23,78,16
2011-01-30,74,25
2011-02-06,80,25
2011-02-13,72,17
2011-02-20,83,18
2011-02-27,79,22
2011-03-06,65,21
2011-03-13,89,19
2011-03-20,82,21
2011-03-27,75,25
2011-04-03,70,25
2011-04-10,51,25
2011-04-17,59,23
2011-04-24,73,28
2011-05-01,82,26
2011-05-08,82,25
2011-05-15,94,29
2011-05-22,100,24
2011-05-29,98,34
2011-06-05,91,35
2011-06-12,99,28
2011-06-19,80,33
2011-06-26,100,30
2011-07-03,88,31
2011-07-10,83,27
2011-07-17,92,30
2011-07-24,78,29
2011-07-31,57,21
2011-08-07,47,34
2011-08-14,45,29
2011-08-21,49,29
2011-08-28,43,30
2011-09-04,52,24
2011-09-11,48,31
2011-09-18,61,22
2011-09-25,62,25
2011-10-02,65,23
2011-10-09,63,26
2011-10-16,71,26
2011-10-23,64,24
2011-10-30,61,29
2011-11-06,66,24
2011-11-13,71,23
2011-11-20,66,24
2011-11-27,63,26
2011-12-04,58,26
2011-12-11,62,27
2011-12-18,41,31
2011-12-25,51,22
