Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2010-01-03,67,26
2010-01-10,72,21
2010-01-17,72,25
2010-01-24,73,21
2010-01-31,76,22
2010-02-07,67,16
2010-02-14,56,15
2010-02-21,70,15
2010-02-28,67,16
2010-03-07,70,19
2010-03-14,65,19
2010-03-21,62,18
2010-03-28,41,11
2010-04-04,57,18
2010-04-11,75,21
2010-04-18,86,19
2010-04-25,74,17
2010-05-02,84,15
2010-05-09,78,19
2010-05-16,97,22
2010-05-23,100,17
2010-05-30,84,19
2010-06-06,69,17
2010-06-13,50,18
2010-06-20,42,16
2010-06-27,44,16
2010-07-04,45,17
2010-07-11,36,16
2010-07-18,37,16
2010-07-25,47,13
2010-08-01,38,10
2010-08-08,35,10
2010-08-15,37,12
2010-08-22,36,14
2010-08-29,31,10
2010-09-05,37,16
2010-09-12,50,21
2010-09-19,55,19
2010-09-26,54,20
2010-10-03,49,21
2010-10-10,60,21
2010-10-17,49,20
2010-10-24,56,21
2010-10-31,62,18
2010-11-07,59,16
2010-11-14,68,16
2010-11-21,61,22
2010-11-28,59,21
2010-12-05,56,15
2010-12-12,50,19
2010-12-19,32,15
2010-12-26,28,18
