Category: All categories

Week,Real Estate: (Portugal)
2014-01-05,70
2014-01-12,70
2014-01-19,70
2014-01-26,68
2014-02-02,70
2014-02-09,66
2014-02-16,75
2014-02-23,81
2014-03-02,70
2014-03-09,67
2014-03-16,68
2014-03-23,71
2014-03-30,68
2014-04-06,69
2014-04-13,69
2014-04-20,68
2014-04-27,74
2014-05-04,68
2014-05-11,68
2014-05-18,69
2014-05-25,73
2014-06-01,67
2014-06-08,60
2014-06-15,59
2014-06-22,64
2014-06-29,65
2014-07-06,68
2014-07-13,67
2014-07-20,73
2014-07-27,70
2014-08-03,79
2014-08-10,76
2014-08-17,75
2014-08-24,79
2014-08-31,69
2014-09-07,73
2014-09-14,78
2014-09-21,73
2014-09-28,78
2014-10-05,84
2014-10-12,74
2014-10-19,72
2014-10-26,73
2014-11-02,71
2014-11-09,76
2014-11-16,78
2014-11-23,64
2014-11-30,64
2014-12-07,58
2014-12-14,57
2014-12-21,51
2014-12-28,68
2015-01-04,76
2015-01-11,76
2015-01-18,82
2015-01-25,88
2015-02-01,82
2015-02-08,82
2015-02-15,81
2015-02-22,84
2015-03-01,92
2015-03-08,77
2015-03-15,77
2015-03-22,72
2015-03-29,72
2015-04-05,89
2015-04-12,91
2015-04-19,83
2015-04-26,83
2015-05-03,76
2015-05-10,79
2015-05-17,76
2015-05-24,77
2015-05-31,74
2015-06-07,79
2015-06-14,78
2015-06-21,74
2015-06-28,74
2015-07-05,71
2015-07-12,77
2015-07-19,76
2015-07-26,81
2015-08-02,75
2015-08-09,81
2015-08-16,99
2015-08-23,99
2015-08-30,97
2015-09-06,97
2015-09-13,87
2015-09-20,100
2015-09-27,80
2015-10-04,86
2015-10-11,91
2015-10-18,86
2015-10-25,82
2015-11-01,91
2015-11-08,83
2015-11-15,77
2015-11-22,76
2015-11-29,68
2015-12-06,69
2015-12-13,70
2015-12-20,58
2015-12-27,79
