Category: All categories

Week,Real Estate: (Portugal)
2016-01-03,92
2016-01-10,91
2016-01-17,89
2016-01-24,94
2016-01-31,97
2016-02-07,97
2016-02-14,93
2016-02-21,100
2016-02-28,88
2016-03-06,85
2016-03-13,80
2016-03-20,70
2016-03-27,86
2016-04-03,90
2016-04-10,93
2016-04-17,97
2016-04-24,82
2016-05-01,84
2016-05-08,88
2016-05-15,84
2016-05-22,85
2016-05-29,81
2016-06-05,71
2016-06-12,74
2016-06-19,67
2016-06-26,68
2016-07-03,74
2016-07-10,76
2016-07-17,90
2016-07-24,78
2016-07-31,84
2016-08-07,78
2016-08-14,78
2016-08-21,87
2016-08-28,89
2016-09-04,86
2016-09-11,87
2016-09-18,89
2016-09-25,91
2016-10-02,97
2016-10-09,90
2016-10-16,77
2016-10-23,76
2016-10-30,78
2016-11-06,71
2016-11-13,76
2016-11-20,86
2016-11-27,72
2016-12-04,70
2016-12-11,70
2016-12-18,58
2016-12-25,68
2017-01-01,90
2017-01-08,86
2017-01-15,87
2017-01-22,86
2017-01-29,86
2017-02-05,88
2017-02-12,84
2017-02-19,84
2017-02-26,81
2017-03-05,86
2017-03-12,87
2017-03-19,88
2017-03-26,85
2017-04-02,75
2017-04-09,68
2017-04-16,79
2017-04-23,75
2017-04-30,74
2017-05-07,80
2017-05-14,76
2017-05-21,78
2017-05-28,89
2017-06-04,86
2017-06-11,82
2017-06-18,74
2017-06-25,80
2017-07-02,77
2017-07-09,77
2017-07-16,76
2017-07-23,79
2017-07-30,74
2017-08-06,77
2017-08-13,75
2017-08-20,85
2017-08-27,88
2017-09-03,84
2017-09-10,83
2017-09-17,85
2017-09-24,88
2017-10-01,83
2017-10-08,86
2017-10-15,85
2017-10-22,87
2017-10-29,82
2017-11-05,81
2017-11-12,84
2017-11-19,67
2017-11-26,66
2017-12-03,67
2017-12-10,67
2017-12-17,59
2017-12-24,68
2017-12-31,82
