Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2016-01-03,93,38
2016-01-10,83,41
2016-01-17,89,40
2016-01-24,81,44
2016-01-31,76,45
2016-02-07,67,42
2016-02-14,80,41
2016-02-21,86,44
2016-02-28,91,49
2016-03-06,84,48
2016-03-13,78,44
2016-03-20,67,48
2016-03-27,65,48
2016-04-03,80,45
2016-04-10,87,44
2016-04-17,87,40
2016-04-24,86,47
2016-05-01,93,43
2016-05-08,97,50
2016-05-15,100,48
2016-05-22,93,50
2016-05-29,97,50
2016-06-05,75,47
2016-06-12,83,50
2016-06-19,57,45
2016-06-26,63,53
2016-07-03,58,48
2016-07-10,57,56
2016-07-17,58,52
2016-07-24,56,58
2016-07-31,46,63
2016-08-07,45,54
2016-08-14,44,55
2016-08-21,52,52
2016-08-28,66,59
2016-09-04,59,56
2016-09-11,60,58
2016-09-18,68,51
2016-09-25,74,52
2016-10-02,74,51
2016-10-09,72,46
2016-10-16,74,51
2016-10-23,76,49
2016-10-30,70,46
2016-11-06,90,46
2016-11-13,80,36
2016-11-20,79,44
2016-11-27,76,45
2016-12-04,68,45
2016-12-11,62,49
2016-12-18,48,54
2016-12-25,57,47
