Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2018-01-07,56,98
2018-01-14,57,91
2018-01-21,58,100
2018-01-28,53,95
2018-02-04,51,86
2018-02-11,49,93
2018-02-18,56,92
2018-02-25,55,89
2018-03-04,54,89
2018-03-11,63,92
2018-03-18,58,89
2018-03-25,56,87
2018-04-01,56,94
2018-04-08,55,89
2018-04-15,61,86
2018-04-22,61,88
2018-04-29,57,87
2018-05-06,53,77
2018-05-13,56,83
2018-05-20,63,80
2018-05-27,53,78
2018-06-03,67,80
2018-06-10,56,78
2018-06-17,45,69
2018-06-24,39,74
2018-07-01,38,79
2018-07-08,36,74
2018-07-15,39,82
2018-07-22,39,82
2018-07-29,38,77
2018-08-05,34,85
2018-08-12,34,82
2018-08-19,38,83
2018-08-26,37,88
2018-09-02,41,87
2018-09-09,38,78
2018-09-16,40,82
2018-09-23,53,86
2018-09-30,46,89
2018-10-07,61,90
2018-10-14,50,90
2018-10-21,52,84
2018-10-28,47,90
2018-11-04,50,88
2018-11-11,52,87
2018-11-18,52,90
2018-11-25,57,87
2018-12-02,54,83
2018-12-09,47,78
2018-12-16,41,69
2018-12-23,33,74
2018-12-30,44,82
