Category: All categories

Week,Video game: (Portugal)
2012-01-01,76
2012-01-08,72
2012-01-15,69
2012-01-22,70
2012-01-29,66
2012-02-05,67
2012-02-12,66
2012-02-19,88
2012-02-26,66
2012-03-04,66
2012-03-11,66
2012-03-18,74
2012-03-25,81
2012-04-01,88
2012-04-08,66
2012-04-15,62
2012-04-22,70
2012-04-29,73
2012-05-06,65
2012-05-13,62
2012-05-20,62
2012-05-27,65
2012-06-03,74
2012-06-10,68
2012-06-17,90
2012-06-24,83
2012-07-01,84
2012-07-08,82
2012-07-15,84
2012-07-22,84
2012-07-29,88
2012-08-05,88
2012-08-12,96
2012-08-19,84
2012-08-26,89
2012-09-02,83
2012-09-09,80
2012-09-16,58
2012-09-23,62
2012-09-30,68
2012-10-07,63
2012-10-14,59
2012-10-21,59
2012-10-28,71
2012-11-04,61
2012-11-11,63
2012-11-18,62
2012-11-25,62
2012-12-02,64
2012-12-09,74
2012-12-16,91
2012-12-23,100
2012-12-30,81
