Category: All categories

Week,Clothing: (Portugal)
2012-01-01,70
2012-01-08,75
2012-01-15,75
2012-01-22,71
2012-01-29,76
2012-02-05,77
2012-02-12,84
2012-02-19,84
2012-02-26,71
2012-03-04,78
2012-03-11,78
2012-03-18,76
2012-03-25,82
2012-04-01,79
2012-04-08,72
2012-04-15,71
2012-04-22,76
2012-04-29,71
2012-05-06,76
2012-05-13,73
2012-05-20,75
2012-05-27,72
2012-06-03,78
2012-06-10,73
2012-06-17,71
2012-06-24,78
2012-07-01,80
2012-07-08,75
2012-07-15,75
2012-07-22,78
2012-07-29,78
2012-08-05,78
2012-08-12,84
2012-08-19,78
2012-08-26,82
2012-09-02,80
2012-09-09,77
2012-09-16,73
2012-09-23,81
2012-09-30,80
2012-10-07,71
2012-10-14,81
2012-10-21,85
2012-10-28,85
2012-11-04,83
2012-11-11,78
2012-11-18,83
2012-11-25,88
2012-12-02,78
2012-12-09,77
2012-12-16,85
2012-12-23,86
2012-12-30,78
2013-01-06,74
2013-01-13,79
2013-01-20,89
2013-01-27,85
2013-02-03,88
2013-02-10,83
2013-02-17,80
2013-02-24,82
2013-03-03,77
2013-03-10,86
2013-03-17,81
2013-03-24,90
2013-03-31,84
2013-04-07,81
2013-04-14,86
2013-04-21,82
2013-04-28,77
2013-05-05,73
2013-05-12,79
2013-05-19,95
2013-05-26,78
2013-06-02,72
2013-06-09,76
2013-06-16,69
2013-06-23,77
2013-06-30,69
2013-07-07,75
2013-07-14,78
2013-07-21,77
2013-07-28,80
2013-08-04,77
2013-08-11,76
2013-08-18,80
2013-08-25,77
2013-09-01,82
2013-09-08,85
2013-09-15,77
2013-09-22,87
2013-09-29,88
2013-10-06,85
2013-10-13,88
2013-10-20,95
2013-10-27,84
2013-11-03,87
2013-11-10,89
2013-11-17,87
2013-11-24,94
2013-12-01,87
2013-12-08,92
2013-12-15,88
2013-12-22,96
2013-12-29,100
