Category: All categories

Week,Mercedes-Benz: (Portugal)
2017-01-01,75
2017-01-08,64
2017-01-15,60
2017-01-22,75
2017-01-29,67
2017-02-05,66
2017-02-12,68
2017-02-19,69
2017-02-26,68
2017-03-05,59
2017-03-12,59
2017-03-19,55
2017-03-26,63
2017-04-02,77
2017-04-09,70
2017-04-16,62
2017-04-23,69
2017-04-30,59
2017-05-07,61
2017-05-14,57
2017-05-21,56
2017-05-28,56
2017-06-04,52
2017-06-11,69
2017-06-18,59
2017-06-25,59
2017-07-02,54
2017-07-09,65
2017-07-16,77
2017-07-23,67
2017-07-30,79
2017-08-06,67
2017-08-13,81
2017-08-20,68
2017-08-27,61
2017-09-03,62
2017-09-10,73
2017-09-17,63
2017-09-24,68
2017-10-01,65
2017-10-08,70
2017-10-15,69
2017-10-22,63
2017-10-29,69
2017-11-05,59
2017-11-12,68
2017-11-19,45
2017-11-26,55
2017-12-03,60
2017-12-10,54
2017-12-17,68
2017-12-24,74
2017-12-31,76
2018-01-07,59
2018-01-14,76
2018-01-21,70
2018-01-28,69
2018-02-04,59
2018-02-11,64
2018-02-18,74
2018-02-25,58
2018-03-04,66
2018-03-11,61
2018-03-18,73
2018-03-25,83
2018-04-01,60
2018-04-08,63
2018-04-15,65
2018-04-22,66
2018-04-29,63
2018-05-06,74
2018-05-13,74
2018-05-20,59
2018-05-27,61
2018-06-03,79
2018-06-10,59
2018-06-17,70
2018-06-24,64
2018-07-01,65
2018-07-08,68
2018-07-15,71
2018-07-22,72
2018-07-29,83
2018-08-05,81
2018-08-12,100
2018-08-19,75
2018-08-26,80
2018-09-02,67
2018-09-09,73
2018-09-16,62
2018-09-23,55
2018-09-30,80
2018-10-07,66
2018-10-14,79
2018-10-21,69
2018-10-28,69
2018-11-04,72
2018-11-11,53
2018-11-18,48
2018-11-25,68
2018-12-02,84
2018-12-09,60
2018-12-16,76
2018-12-23,80
2018-12-30,59
