Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2015-01-04,15,72
2015-01-11,17,61
2015-01-18,16,60
2015-01-25,14,68
2015-02-01,13,57
2015-02-08,13,72
2015-02-15,12,76
2015-02-22,16,71
2015-03-01,14,75
2015-03-08,14,72
2015-03-15,14,62
2015-03-22,12,56
2015-03-29,10,59
2015-04-05,12,63
2015-04-12,14,62
2015-04-19,13,52
2015-04-26,12,100
2015-05-03,13,61
2015-05-10,14,52
2015-05-17,13,72
2015-05-24,14,44
2015-05-31,12,44
2015-06-07,13,46
2015-06-14,11,42
2015-06-21,10,40
2015-06-28,10,42
2015-07-05,9,45
2015-07-12,9,48
2015-07-19,8,51
2015-07-26,10,52
2015-08-02,7,57
2015-08-09,7,60
2015-08-16,8,80
2015-08-23,8,74
2015-08-30,9,50
2015-09-06,9,61
2015-09-13,9,61
2015-09-20,10,76
2015-09-27,11,59
2015-10-04,11,57
2015-10-11,11,53
2015-10-18,11,60
2015-10-25,12,84
2015-11-01,12,49
2015-11-08,11,55
2015-11-15,11,53
2015-11-22,12,51
2015-11-29,12,64
2015-12-06,11,55
2015-12-13,11,53
2015-12-20,7,60
2015-12-27,9,68
