Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2014-01-05,16,54
2014-01-12,15,54
2014-01-19,15,57
2014-01-26,15,60
2014-02-02,14,66
2014-02-09,15,95
2014-02-16,13,62
2014-02-23,15,67
2014-03-02,13,74
2014-03-09,13,57
2014-03-16,15,59
2014-03-23,16,61
2014-03-30,15,57
2014-04-06,12,62
2014-04-13,11,72
2014-04-20,13,68
2014-04-27,13,76
2014-05-04,15,67
2014-05-11,16,62
2014-05-18,19,59
2014-05-25,19,62
2014-06-01,19,62
2014-06-08,16,60
2014-06-15,16,52
2014-06-22,15,62
2014-06-29,12,65
2014-07-06,13,67
2014-07-13,12,71
2014-07-20,10,72
2014-07-27,9,83
2014-08-03,9,81
2014-08-10,8,95
2014-08-17,10,89
2014-08-24,9,87
2014-08-31,11,77
2014-09-07,11,69
2014-09-14,13,68
2014-09-21,13,67
2014-09-28,13,68
2014-10-05,15,65
2014-10-12,14,67
2014-10-19,12,68
2014-10-26,14,69
2014-11-02,14,64
2014-11-09,15,65
2014-11-16,13,75
2014-11-23,13,70
2014-11-30,12,80
2014-12-07,13,82
2014-12-14,12,81
2014-12-21,11,81
2014-12-28,14,100
