Category: All categories

Week,Television: (Portugal)
2007-01-07,49
2007-01-14,50
2007-01-21,52
2007-01-28,50
2007-02-04,53
2007-02-11,58
2007-02-18,71
2007-02-25,59
2007-03-04,66
2007-03-11,84
2007-03-18,61
2007-03-25,64
2007-04-01,83
2007-04-08,73
2007-04-15,68
2007-04-22,71
2007-04-29,87
2007-05-06,68
2007-05-13,70
2007-05-20,71
2007-05-27,63
2007-06-03,65
2007-06-10,63
2007-06-17,70
2007-06-24,74
2007-07-01,67
2007-07-08,65
2007-07-15,73
2007-07-22,72
2007-07-29,69
2007-08-05,73
2007-08-12,95
2007-08-19,83
2007-08-26,87
2007-09-02,79
2007-09-09,79
2007-09-16,83
2007-09-23,100
2007-09-30,100
2007-10-07,75
2007-10-14,90
2007-10-21,88
2007-10-28,86
2007-11-04,85
2007-11-11,67
2007-11-18,68
2007-11-25,86
2007-12-02,77
2007-12-09,70
2007-12-16,75
2007-12-23,80
2007-12-30,83
