Category: All categories

Week,Lawyer: (Portugal)
2016-01-03,94
2016-01-10,82
2016-01-17,76
2016-01-24,82
2016-01-31,94
2016-02-07,69
2016-02-14,83
2016-02-21,90
2016-02-28,83
2016-03-06,80
2016-03-13,84
2016-03-20,59
2016-03-27,76
2016-04-03,87
2016-04-10,75
2016-04-17,74
2016-04-24,72
2016-05-01,84
2016-05-08,73
2016-05-15,100
2016-05-22,74
2016-05-29,90
2016-06-05,66
2016-06-12,69
2016-06-19,77
2016-06-26,85
2016-07-03,81
2016-07-10,82
2016-07-17,88
2016-07-24,71
2016-07-31,64
2016-08-07,51
2016-08-14,57
2016-08-21,61
2016-08-28,76
2016-09-04,79
2016-09-11,83
2016-09-18,90
2016-09-25,85
2016-10-02,73
2016-10-09,76
2016-10-16,85
2016-10-23,87
2016-10-30,72
2016-11-06,97
2016-11-13,95
2016-11-20,88
2016-11-27,78
2016-12-04,80
2016-12-11,94
2016-12-18,68
2016-12-25,75
2017-01-01,81
2017-01-08,80
2017-01-15,77
2017-01-22,79
2017-01-29,91
2017-02-05,77
2017-02-12,79
2017-02-19,95
2017-02-26,66
2017-03-05,80
2017-03-12,90
2017-03-19,92
2017-03-26,88
2017-04-02,78
2017-04-09,62
2017-04-16,78
2017-04-23,79
2017-04-30,76
2017-05-07,74
2017-05-14,81
2017-05-21,97
2017-05-28,85
2017-06-04,85
2017-06-11,67
2017-06-18,87
2017-06-25,80
2017-07-02,91
2017-07-09,71
2017-07-16,77
2017-07-23,71
2017-07-30,68
2017-08-06,65
2017-08-13,50
2017-08-20,58
2017-08-27,67
2017-09-03,81
2017-09-10,77
2017-09-17,90
2017-09-24,85
2017-10-01,81
2017-10-08,94
2017-10-15,90
2017-10-22,91
2017-10-29,77
2017-11-05,96
2017-11-12,88
2017-11-19,85
2017-11-26,78
2017-12-03,78
2017-12-10,96
2017-12-17,87
2017-12-24,55
2017-12-31,73
