Category: All categories

Week,Video game: (Portugal)
2017-01-01,77
2017-01-08,72
2017-01-15,74
2017-01-22,75
2017-01-29,80
2017-02-05,75
2017-02-12,71
2017-02-19,67
2017-02-26,89
2017-03-05,70
2017-03-12,64
2017-03-19,66
2017-03-26,69
2017-04-02,75
2017-04-09,84
2017-04-16,67
2017-04-23,70
2017-04-30,69
2017-05-07,66
2017-05-14,57
2017-05-21,59
2017-05-28,61
2017-06-04,63
2017-06-11,66
2017-06-18,65
2017-06-25,75
2017-07-02,67
2017-07-09,66
2017-07-16,66
2017-07-23,72
2017-07-30,71
2017-08-06,67
2017-08-13,73
2017-08-20,73
2017-08-27,72
2017-09-03,63
2017-09-10,62
2017-09-17,56
2017-09-24,66
2017-10-01,68
2017-10-08,58
2017-10-15,63
2017-10-22,59
2017-10-29,72
2017-11-05,66
2017-11-12,77
2017-11-19,77
2017-11-26,80
2017-12-03,76
2017-12-10,72
2017-12-17,97
2017-12-24,100
2017-12-31,73
