Category: All categories

Week,Natural gas: (Portugal)
2013-01-06,71
2013-01-13,73
2013-01-20,72
2013-01-27,75
2013-02-03,74
2013-02-10,56
2013-02-17,63
2013-02-24,75
2013-03-03,81
2013-03-10,45
2013-03-17,48
2013-03-24,49
2013-03-31,60
2013-04-07,65
2013-04-14,75
2013-04-21,37
2013-04-28,42
2013-05-05,71
2013-05-12,57
2013-05-19,63
2013-05-26,66
2013-06-02,62
2013-06-09,61
2013-06-16,56
2013-06-23,54
2013-06-30,47
2013-07-07,52
2013-07-14,48
2013-07-21,43
2013-07-28,37
2013-08-04,50
2013-08-11,28
2013-08-18,49
2013-08-25,47
2013-09-01,51
2013-09-08,44
2013-09-15,43
2013-09-22,60
2013-09-29,39
2013-10-06,41
2013-10-13,49
2013-10-20,51
2013-10-27,67
2013-11-03,57
2013-11-10,81
2013-11-17,91
2013-11-24,98
2013-12-01,100
2013-12-08,86
2013-12-15,70
2013-12-22,57
2013-12-29,60
2014-01-05,73
2014-01-12,50
2014-01-19,74
2014-01-26,83
2014-02-02,77
2014-02-09,76
2014-02-16,57
2014-02-23,49
2014-03-02,69
2014-03-09,56
2014-03-16,56
2014-03-23,77
2014-03-30,59
2014-04-06,31
2014-04-13,48
2014-04-20,46
2014-04-27,65
2014-05-04,67
2014-05-11,63
2014-05-18,72
2014-05-25,67
2014-06-01,57
2014-06-08,41
2014-06-15,52
2014-06-22,54
2014-06-29,47
2014-07-06,44
2014-07-13,43
2014-07-20,53
2014-07-27,27
2014-08-03,65
2014-08-10,28
2014-08-17,42
2014-08-24,75
2014-08-31,50
2014-09-07,36
2014-09-14,41
2014-09-21,51
2014-09-28,57
2014-10-05,62
2014-10-12,54
2014-10-19,48
2014-10-26,56
2014-11-02,67
2014-11-09,62
2014-11-16,75
2014-11-23,62
2014-11-30,83
2014-12-07,72
2014-12-14,77
2014-12-21,62
2014-12-28,88
