Category: All categories

Week,electrical appliance: (Portugal)
2017-01-01,49
2017-01-08,37
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,36
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,50
2017-03-19,68
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,29
2017-06-04,100
2017-06-11,38
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,70
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,33
2017-10-15,26
2017-10-22,29
2017-10-29,42
2017-11-05,37
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,36
2017-12-10,0
2017-12-17,62
2017-12-24,0
2017-12-31,45
