Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2006-01-01,65,25
2006-01-08,66,15
2006-01-15,60,15
2006-01-22,52,6
2006-01-29,58,21
2006-02-05,63,22
2006-02-12,44,18
2006-02-19,66,39
2006-02-26,56,15
2006-03-05,55,18
2006-03-12,57,26
2006-03-19,60,20
2006-03-26,51,16
2006-04-02,44,15
2006-04-09,42,9
2006-04-16,62,13
2006-04-23,63,16
2006-04-30,83,12
2006-05-07,92,13
2006-05-14,86,15
2006-05-21,100,13
2006-05-28,75,15
2006-06-04,97,21
2006-06-11,60,9
2006-06-18,41,5
2006-06-25,38,10
2006-07-02,33,13
2006-07-09,33,10
2006-07-16,33,12
2006-07-23,34,12
2006-07-30,28,5
2006-08-06,30,16
2006-08-13,28,21
2006-08-20,24,13
2006-08-27,35,0
2006-09-03,26,10
2006-09-10,28,21
2006-09-17,40,20
2006-09-24,52,8
2006-10-01,61,5
2006-10-08,55,15
2006-10-15,51,18
2006-10-22,62,12
2006-10-29,49,28
2006-11-05,54,17
2006-11-12,45,16
2006-11-19,56,14
2006-11-26,50,9
2006-12-03,47,12
2006-12-10,48,16
2006-12-17,32,11
2006-12-24,29,7
2006-12-31,39,17
