Category: All categories

Week,Clothing: (Portugal)
2013-01-06,74
2013-01-13,79
2013-01-20,88
2013-01-27,86
2013-02-03,87
2013-02-10,77
2013-02-17,79
2013-02-24,82
2013-03-03,77
2013-03-10,86
2013-03-17,80
2013-03-24,90
2013-03-31,83
2013-04-07,81
2013-04-14,88
2013-04-21,84
2013-04-28,81
2013-05-05,73
2013-05-12,78
2013-05-19,95
2013-05-26,78
2013-06-02,72
2013-06-09,76
2013-06-16,70
2013-06-23,76
2013-06-30,69
2013-07-07,74
2013-07-14,77
2013-07-21,78
2013-07-28,79
2013-08-04,75
2013-08-11,76
2013-08-18,79
2013-08-25,77
2013-09-01,82
2013-09-08,85
2013-09-15,76
2013-09-22,88
2013-09-29,90
2013-10-06,84
2013-10-13,88
2013-10-20,95
2013-10-27,86
2013-11-03,88
2013-11-10,88
2013-11-17,87
2013-11-24,94
2013-12-01,88
2013-12-08,93
2013-12-15,88
2013-12-22,97
2013-12-29,100
