Category: All categories

Week,Automotive industry: (Portugal)
2012-01-01,23
2012-01-08,0
2012-01-15,72
2012-01-22,67
2012-01-29,18
2012-02-05,60
2012-02-12,27
2012-02-19,60
2012-02-26,34
2012-03-04,54
2012-03-11,77
2012-03-18,34
2012-03-25,0
2012-04-01,44
2012-04-08,39
2012-04-15,44
2012-04-22,0
2012-04-29,53
2012-05-06,0
2012-05-13,41
2012-05-20,32
2012-05-27,31
2012-06-03,24
2012-06-10,67
2012-06-17,35
2012-06-24,34
2012-07-01,20
2012-07-08,26
2012-07-15,49
2012-07-22,30
2012-07-29,45
2012-08-05,32
2012-08-12,0
2012-08-19,39
2012-08-26,100
2012-09-02,0
2012-09-09,34
2012-09-16,0
2012-09-23,35
2012-09-30,28
2012-10-07,30
2012-10-14,48
2012-10-21,33
2012-10-28,58
2012-11-04,34
2012-11-11,33
2012-11-18,0
2012-11-25,72
2012-12-02,37
2012-12-09,35
2012-12-16,19
2012-12-23,61
2012-12-30,33
