Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2016-01-03,93,43
2016-01-10,82,41
2016-01-17,88,42
2016-01-24,81,43
2016-01-31,76,43
2016-02-07,67,42
2016-02-14,79,44
2016-02-21,87,43
2016-02-28,90,38
2016-03-06,84,45
2016-03-13,78,56
2016-03-20,67,47
2016-03-27,66,45
2016-04-03,80,53
2016-04-10,87,48
2016-04-17,86,53
2016-04-24,86,64
2016-05-01,93,61
2016-05-08,95,53
2016-05-15,100,66
2016-05-22,93,55
2016-05-29,96,60
2016-06-05,75,63
2016-06-12,82,64
2016-06-19,57,55
2016-06-26,62,72
2016-07-03,57,70
2016-07-10,57,77
2016-07-17,58,61
2016-07-24,56,63
2016-07-31,46,59
2016-08-07,45,60
2016-08-14,44,63
2016-08-21,52,61
2016-08-28,66,54
2016-09-04,58,51
2016-09-11,59,45
2016-09-18,67,53
2016-09-25,74,50
2016-10-02,74,52
2016-10-09,72,48
2016-10-16,74,50
2016-10-23,76,57
2016-10-30,70,52
2016-11-06,89,45
2016-11-13,81,50
2016-11-20,79,51
2016-11-27,77,56
2016-12-04,68,63
2016-12-11,63,68
2016-12-18,47,59
2016-12-25,56,54
