Category: All categories

Week,Footwear: (Portugal)
2015-01-04,0
2015-01-11,39
2015-01-18,0
2015-01-25,0
2015-02-01,41
2015-02-08,62
2015-02-15,75
2015-02-22,50
2015-03-01,63
2015-03-08,100
2015-03-15,56
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,43
2015-04-19,27
2015-04-26,36
2015-05-03,0
2015-05-10,0
2015-05-17,24
2015-05-24,0
2015-05-31,22
2015-06-07,0
2015-06-14,0
2015-06-21,48
2015-06-28,38
2015-07-05,0
2015-07-12,35
2015-07-19,24
2015-07-26,43
2015-08-02,23
2015-08-09,70
2015-08-16,32
2015-08-23,84
2015-08-30,30
2015-09-06,0
2015-09-13,0
2015-09-20,53
2015-09-27,0
2015-10-04,62
2015-10-11,26
2015-10-18,28
2015-10-25,33
2015-11-01,24
2015-11-08,0
2015-11-15,0
2015-11-22,38
2015-11-29,0
2015-12-06,0
2015-12-13,28
2015-12-20,28
2015-12-27,0
