Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2015-01-04,88,3
2015-01-11,100,1
2015-01-18,93,2
2015-01-25,87,2
2015-02-01,76,2
2015-02-08,77,3
2015-02-15,67,3
2015-02-22,93,5
2015-03-01,83,1
2015-03-08,82,2
2015-03-15,82,1
2015-03-22,72,1
2015-03-29,56,1
2015-04-05,72,2
2015-04-12,81,1
2015-04-19,76,2
2015-04-26,71,2
2015-05-03,78,3
2015-05-10,82,1
2015-05-17,77,1
2015-05-24,81,2
2015-05-31,71,2
2015-06-07,74,4
2015-06-14,66,0
2015-06-21,55,1
2015-06-28,55,1
2015-07-05,49,3
2015-07-12,50,1
2015-07-19,50,2
2015-07-26,56,2
2015-08-02,42,2
2015-08-09,43,2
2015-08-16,47,1
2015-08-23,46,1
2015-08-30,52,3
2015-09-06,52,1
2015-09-13,51,1
2015-09-20,58,1
2015-09-27,63,0
2015-10-04,63,1
2015-10-11,66,1
2015-10-18,64,1
2015-10-25,69,0
2015-11-01,68,0
2015-11-08,63,2
2015-11-15,63,4
2015-11-22,68,1
2015-11-29,70,4
2015-12-06,60,3
2015-12-13,64,3
2015-12-20,40,0
2015-12-27,52,0
