Category: All categories

Week,Clothing: (Portugal)
2015-01-04,78
2015-01-11,83
2015-01-18,89
2015-01-25,83
2015-02-01,88
2015-02-08,88
2015-02-15,86
2015-02-22,87
2015-03-01,87
2015-03-08,83
2015-03-15,82
2015-03-22,73
2015-03-29,89
2015-04-05,80
2015-04-12,81
2015-04-19,81
2015-04-26,85
2015-05-03,78
2015-05-10,83
2015-05-17,73
2015-05-24,83
2015-05-31,72
2015-06-07,71
2015-06-14,80
2015-06-21,71
2015-06-28,71
2015-07-05,79
2015-07-12,79
2015-07-19,78
2015-07-26,73
2015-08-02,72
2015-08-09,72
2015-08-16,75
2015-08-23,81
2015-08-30,84
2015-09-06,88
2015-09-13,83
2015-09-20,82
2015-09-27,78
2015-10-04,81
2015-10-11,89
2015-10-18,80
2015-10-25,92
2015-11-01,87
2015-11-08,72
2015-11-15,84
2015-11-22,86
2015-11-29,87
2015-12-06,88
2015-12-13,84
2015-12-20,75
2015-12-27,100
2016-01-03,100
2016-01-10,99
2016-01-17,90
2016-01-24,93
2016-01-31,99
2016-02-07,90
2016-02-14,81
2016-02-21,89
2016-02-28,80
2016-03-06,86
2016-03-13,78
2016-03-20,86
2016-03-27,85
2016-04-03,85
2016-04-10,97
2016-04-17,83
2016-04-24,85
2016-05-01,87
2016-05-08,84
2016-05-15,91
2016-05-22,92
2016-05-29,86
2016-06-05,91
2016-06-12,81
2016-06-19,80
2016-06-26,79
2016-07-03,82
2016-07-10,74
2016-07-17,83
2016-07-24,75
2016-07-31,79
2016-08-07,67
2016-08-14,76
2016-08-21,78
2016-08-28,86
2016-09-04,86
2016-09-11,90
2016-09-18,84
2016-09-25,88
2016-10-02,95
2016-10-09,93
2016-10-16,96
2016-10-23,98
2016-10-30,94
2016-11-06,91
2016-11-13,92
2016-11-20,99
2016-11-27,97
2016-12-04,99
2016-12-11,94
2016-12-18,77
2016-12-25,94
