Category: All categories

Week,Lawyer: (Portugal)
2012-01-01,60
2012-01-08,67
2012-01-15,68
2012-01-22,64
2012-01-29,64
2012-02-05,70
2012-02-12,63
2012-02-19,60
2012-02-26,59
2012-03-04,71
2012-03-11,66
2012-03-18,65
2012-03-25,64
2012-04-01,52
2012-04-08,61
2012-04-15,65
2012-04-22,63
2012-04-29,52
2012-05-06,52
2012-05-13,64
2012-05-20,68
2012-05-27,63
2012-06-03,53
2012-06-10,60
2012-06-17,60
2012-06-24,64
2012-07-01,66
2012-07-08,71
2012-07-15,66
2012-07-22,60
2012-07-29,55
2012-08-05,45
2012-08-12,53
2012-08-19,59
2012-08-26,47
2012-09-02,69
2012-09-09,68
2012-09-16,68
2012-09-23,68
2012-09-30,58
2012-10-07,76
2012-10-14,64
2012-10-21,70
2012-10-28,58
2012-11-04,67
2012-11-11,67
2012-11-18,64
2012-11-25,66
2012-12-02,55
2012-12-09,61
2012-12-16,56
2012-12-23,36
2012-12-30,54
2013-01-06,79
2013-01-13,62
2013-01-20,69
2013-01-27,70
2013-02-03,67
2013-02-10,59
2013-02-17,73
2013-02-24,73
2013-03-03,69
2013-03-10,62
2013-03-17,67
2013-03-24,53
2013-03-31,66
2013-04-07,78
2013-04-14,63
2013-04-21,60
2013-04-28,61
2013-05-05,68
2013-05-12,70
2013-05-19,73
2013-05-26,75
2013-06-02,68
2013-06-09,59
2013-06-16,72
2013-06-23,71
2013-06-30,60
2013-07-07,68
2013-07-14,65
2013-07-21,67
2013-07-28,63
2013-08-04,46
2013-08-11,48
2013-08-18,53
2013-08-25,55
2013-09-01,68
2013-09-08,67
2013-09-15,82
2013-09-22,70
2013-09-29,73
2013-10-06,72
2013-10-13,79
2013-10-20,77
2013-10-27,75
2013-11-03,74
2013-11-10,78
2013-11-17,73
2013-11-24,100
2013-12-01,79
2013-12-08,71
2013-12-15,98
2013-12-22,48
2013-12-29,55
