Category: All categories

Week,Shoes: (Portugal)
2009-01-04,75
2009-01-11,71
2009-01-18,78
2009-01-25,65
2009-02-01,65
2009-02-08,69
2009-02-15,65
2009-02-22,74
2009-03-01,69
2009-03-08,74
2009-03-15,76
2009-03-22,74
2009-03-29,79
2009-04-05,79
2009-04-12,80
2009-04-19,76
2009-04-26,77
2009-05-03,84
2009-05-10,76
2009-05-17,87
2009-05-24,89
2009-05-31,74
2009-06-07,76
2009-06-14,73
2009-06-21,66
2009-06-28,76
2009-07-05,63
2009-07-12,75
2009-07-19,71
2009-07-26,60
2009-08-02,63
2009-08-09,58
2009-08-16,74
2009-08-23,62
2009-08-30,73
2009-09-06,77
2009-09-13,88
2009-09-20,98
2009-09-27,91
2009-10-04,99
2009-10-11,88
2009-10-18,100
2009-10-25,86
2009-11-01,94
2009-11-08,96
2009-11-15,77
2009-11-22,90
2009-11-29,90
2009-12-06,85
2009-12-13,75
2009-12-20,83
2009-12-27,80
