Category: All categories

Week,Restaurant: (Portugal)
2013-01-06,51
2013-01-13,50
2013-01-20,53
2013-01-27,57
2013-02-03,66
2013-02-10,86
2013-02-17,53
2013-02-24,58
2013-03-03,66
2013-03-10,65
2013-03-17,65
2013-03-24,68
2013-03-31,58
2013-04-07,55
2013-04-14,59
2013-04-21,58
2013-04-28,68
2013-05-05,60
2013-05-12,64
2013-05-19,63
2013-05-26,62
2013-06-02,61
2013-06-09,61
2013-06-16,58
2013-06-23,64
2013-06-30,64
2013-07-07,61
2013-07-14,69
2013-07-21,74
2013-07-28,80
2013-08-04,85
2013-08-11,100
2013-08-18,87
2013-08-25,81
2013-09-01,74
2013-09-08,71
2013-09-15,64
2013-09-22,65
2013-09-29,59
2013-10-06,66
2013-10-13,65
2013-10-20,62
2013-10-27,67
2013-11-03,61
2013-11-10,64
2013-11-17,68
2013-11-24,75
2013-12-01,73
2013-12-08,78
2013-12-15,77
2013-12-22,80
2013-12-29,88
