Category: All categories

Week,Footwear: (Portugal)
2013-01-06,46
2013-01-13,0
2013-01-20,0
2013-01-27,100
2013-02-03,0
2013-02-10,36
2013-02-17,48
2013-02-24,50
2013-03-03,48
2013-03-10,40
2013-03-17,90
2013-03-24,99
2013-03-31,71
2013-04-07,56
2013-04-14,95
2013-04-21,41
2013-04-28,39
2013-05-05,37
2013-05-12,0
2013-05-19,0
2013-05-26,35
2013-06-02,100
2013-06-09,73
2013-06-16,77
2013-06-23,0
2013-06-30,94
2013-07-07,52
2013-07-14,0
2013-07-21,0
2013-07-28,76
2013-08-04,0
2013-08-11,0
2013-08-18,95
2013-08-25,54
2013-09-01,0
2013-09-08,0
2013-09-15,62
2013-09-22,63
2013-09-29,85
2013-10-06,59
2013-10-13,51
2013-10-20,47
2013-10-27,79
2013-11-03,61
2013-11-10,89
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,73
2013-12-22,60
2013-12-29,67
