Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2015-01-04,88,62
2015-01-11,100,74
2015-01-18,92,70
2015-01-25,87,77
2015-02-01,77,76
2015-02-08,77,75
2015-02-15,67,69
2015-02-22,93,73
2015-03-01,83,65
2015-03-08,82,70
2015-03-15,81,68
2015-03-22,73,69
2015-03-29,57,71
2015-04-05,72,59
2015-04-12,81,73
2015-04-19,76,74
2015-04-26,71,73
2015-05-03,77,63
2015-05-10,82,66
2015-05-17,77,62
2015-05-24,82,59
2015-05-31,71,63
2015-06-07,74,61
2015-06-14,66,63
2015-06-21,56,58
2015-06-28,55,64
2015-07-05,50,67
2015-07-12,50,60
2015-07-19,50,65
2015-07-26,56,69
2015-08-02,41,69
2015-08-09,43,75
2015-08-16,46,75
2015-08-23,46,74
2015-08-30,53,71
2015-09-06,52,72
2015-09-13,50,71
2015-09-20,58,78
2015-09-27,63,75
2015-10-04,63,70
2015-10-11,66,71
2015-10-18,64,65
2015-10-25,68,80
2015-11-01,69,79
2015-11-08,63,72
2015-11-15,64,72
2015-11-22,68,71
2015-11-29,71,70
2015-12-06,60,71
2015-12-13,64,62
2015-12-20,40,56
2015-12-27,51,63
