Category: All categories

Week,Margarine: (Portugal)
2016-01-03,58
2016-01-10,60
2016-01-17,80
2016-01-24,50
2016-01-31,63
2016-02-07,75
2016-02-14,50
2016-02-21,64
2016-02-28,45
2016-03-06,40
2016-03-13,92
2016-03-20,43
2016-03-27,0
2016-04-03,34
2016-04-10,41
2016-04-17,54
2016-04-24,63
2016-05-01,61
2016-05-08,77
2016-05-15,35
2016-05-22,34
2016-05-29,26
2016-06-05,0
2016-06-12,0
2016-06-19,57
2016-06-26,27
2016-07-03,0
2016-07-10,38
2016-07-17,28
2016-07-24,27
2016-07-31,0
2016-08-07,49
2016-08-14,22
2016-08-21,0
2016-08-28,28
2016-09-04,93
2016-09-11,34
2016-09-18,19
2016-09-25,57
2016-10-02,25
2016-10-09,99
2016-10-16,50
2016-10-23,52
2016-10-30,57
2016-11-06,47
2016-11-13,22
2016-11-20,53
2016-11-27,75
2016-12-04,43
2016-12-11,52
2016-12-18,80
2016-12-25,47
2017-01-01,38
2017-01-08,0
2017-01-15,28
2017-01-22,40
2017-01-29,36
2017-02-05,31
2017-02-12,37
2017-02-19,78
2017-02-26,40
2017-03-05,40
2017-03-12,0
2017-03-19,74
2017-03-26,81
2017-04-02,66
2017-04-09,58
2017-04-16,34
2017-04-23,64
2017-04-30,0
2017-05-07,100
2017-05-14,28
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,27
2017-06-18,75
2017-06-25,0
2017-07-02,0
2017-07-09,43
2017-07-16,29
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,62
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,42
2017-09-17,41
2017-09-24,44
2017-10-01,28
2017-10-08,31
2017-10-15,28
2017-10-22,38
2017-10-29,34
2017-11-05,86
2017-11-12,33
2017-11-19,0
2017-11-26,25
2017-12-03,32
2017-12-10,0
2017-12-17,95
2017-12-24,41
2017-12-31,0
