Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2011-01-02,66,48
2011-01-09,82,48
2011-01-16,79,52
2011-01-23,77,48
2011-01-30,74,49
2011-02-06,81,45
2011-02-13,72,42
2011-02-20,83,44
2011-02-27,76,48
2011-03-06,64,50
2011-03-13,87,43
2011-03-20,80,46
2011-03-27,76,47
2011-04-03,69,41
2011-04-10,53,36
2011-04-17,58,39
2011-04-24,73,39
2011-05-01,82,43
2011-05-08,83,40
2011-05-15,93,38
2011-05-22,100,43
2011-05-29,98,40
2011-06-05,89,41
2011-06-12,98,40
2011-06-19,80,40
2011-06-26,100,36
2011-07-03,83,45
2011-07-10,81,45
2011-07-17,92,47
2011-07-24,78,45
2011-07-31,56,46
2011-08-07,46,50
2011-08-14,43,53
2011-08-21,52,57
2011-08-28,44,60
2011-09-04,52,46
2011-09-11,49,43
2011-09-18,58,44
2011-09-25,61,51
2011-10-02,65,46
2011-10-09,61,45
2011-10-16,73,44
2011-10-23,64,51
2011-10-30,58,42
2011-11-06,68,44
2011-11-13,71,48
2011-11-20,65,48
2011-11-27,62,44
2011-12-04,58,45
2011-12-11,67,38
2011-12-18,40,26
2011-12-25,51,33
