Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2013-01-06,85,36
2013-01-13,81,37
2013-01-20,88,42
2013-01-27,79,38
2013-02-03,76,37
2013-02-10,62,43
2013-02-17,78,36
2013-02-24,84,38
2013-03-03,88,35
2013-03-10,73,34
2013-03-17,60,43
2013-03-24,70,40
2013-03-31,75,37
2013-04-07,88,32
2013-04-14,82,34
2013-04-21,76,30
2013-04-28,83,37
2013-05-05,79,34
2013-05-12,89,35
2013-05-19,97,32
2013-05-26,99,40
2013-06-02,81,36
2013-06-09,63,38
2013-06-16,64,38
2013-06-23,55,41
2013-06-30,47,36
2013-07-07,49,46
2013-07-14,55,39
2013-07-21,48,44
2013-07-28,41,39
2013-08-04,40,47
2013-08-11,34,48
2013-08-18,43,47
2013-08-25,43,43
2013-09-01,46,48
2013-09-08,52,39
2013-09-15,54,37
2013-09-22,59,38
2013-09-29,65,35
2013-10-06,65,37
2013-10-13,65,34
2013-10-20,68,33
2013-10-27,71,34
2013-11-03,75,45
2013-11-10,72,34
2013-11-17,75,32
2013-11-24,88,33
2013-12-01,100,43
2013-12-08,88,40
2013-12-15,67,40
2013-12-22,56,38
2013-12-29,65,38
