Category: All categories

Week,Clothing: (Portugal)
2014-01-05,86
2014-01-12,88
2014-01-19,85
2014-01-26,84
2014-02-02,83
2014-02-09,88
2014-02-16,93
2014-02-23,95
2014-03-02,91
2014-03-09,85
2014-03-16,84
2014-03-23,82
2014-03-30,83
2014-04-06,83
2014-04-13,90
2014-04-20,83
2014-04-27,82
2014-05-04,79
2014-05-11,80
2014-05-18,83
2014-05-25,73
2014-06-01,85
2014-06-08,80
2014-06-15,79
2014-06-22,72
2014-06-29,73
2014-07-06,78
2014-07-13,74
2014-07-20,87
2014-07-27,77
2014-08-03,77
2014-08-10,77
2014-08-17,82
2014-08-24,85
2014-08-31,84
2014-09-07,82
2014-09-14,84
2014-09-21,81
2014-09-28,82
2014-10-05,86
2014-10-12,96
2014-10-19,85
2014-10-26,84
2014-11-02,92
2014-11-09,89
2014-11-16,97
2014-11-23,91
2014-11-30,90
2014-12-07,91
2014-12-14,85
2014-12-21,86
2014-12-28,100
