Category: All categories

Week,Tobacco: (Portugal)
2006-01-01,42
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,26
2006-02-05,0
2006-02-12,0
2006-02-19,43
2006-02-26,0
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,0
2006-04-02,52
2006-04-09,44
2006-04-16,0
2006-04-23,26
2006-04-30,100
2006-05-07,37
2006-05-14,0
2006-05-21,56
2006-05-28,0
2006-06-04,33
2006-06-11,0
2006-06-18,0
2006-06-25,46
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,0
2006-08-06,41
2006-08-13,0
2006-08-20,65
2006-08-27,22
2006-09-03,0
2006-09-10,22
2006-09-17,26
2006-09-24,26
2006-10-01,0
2006-10-08,0
2006-10-15,49
2006-10-22,0
2006-10-29,63
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,21
2006-12-03,78
2006-12-10,0
2006-12-17,0
2006-12-24,0
2006-12-31,0
