Category: All categories

Week,Footwear: (Portugal)
2011-01-02,32
2011-01-09,48
2011-01-16,0
2011-01-23,30
2011-01-30,21
2011-02-06,50
2011-02-13,69
2011-02-20,43
2011-02-27,27
2011-03-06,41
2011-03-13,50
2011-03-20,53
2011-03-27,16
2011-04-03,32
2011-04-10,50
2011-04-17,28
2011-04-24,36
2011-05-01,50
2011-05-08,16
2011-05-15,41
2011-05-22,0
2011-05-29,0
2011-06-05,22
2011-06-12,0
2011-06-19,0
2011-06-26,43
2011-07-03,0
2011-07-10,29
2011-07-17,50
2011-07-24,100
2011-07-31,0
2011-08-07,36
2011-08-14,63
2011-08-21,0
2011-08-28,22
2011-09-04,29
2011-09-11,20
2011-09-18,30
2011-09-25,0
2011-10-02,21
2011-10-09,16
2011-10-16,0
2011-10-23,18
2011-10-30,40
2011-11-06,34
2011-11-13,41
2011-11-20,60
2011-11-27,30
2011-12-04,0
2011-12-11,26
2011-12-18,65
2011-12-25,0
