Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2008-01-06,70,0
2008-01-13,69,0
2008-01-20,61,0
2008-01-27,63,0
2008-02-03,54,0
2008-02-10,61,0
2008-02-17,73,0
2008-02-24,73,1
2008-03-02,69,0
2008-03-09,63,2
2008-03-16,52,2
2008-03-23,52,1
2008-03-30,74,2
2008-04-06,66,1
2008-04-13,69,0
2008-04-20,72,0
2008-04-27,67,0
2008-05-04,91,1
2008-05-11,80,1
2008-05-18,88,0
2008-05-25,100,2
2008-06-01,94,0
2008-06-08,75,0
2008-06-15,69,0
2008-06-22,60,0
2008-06-29,53,0
2008-07-06,50,1
2008-07-13,56,0
2008-07-20,34,2
2008-07-27,30,2
2008-08-03,38,0
2008-08-10,28,0
2008-08-17,37,5
2008-08-24,34,0
2008-08-31,36,0
2008-09-07,41,0
2008-09-14,53,0
2008-09-21,59,3
2008-09-28,60,2
2008-10-05,66,2
2008-10-12,57,0
2008-10-19,55,2
2008-10-26,59,0
2008-11-02,54,0
2008-11-09,63,0
2008-11-16,73,4
2008-11-23,61,1
2008-11-30,57,1
2008-12-07,54,0
2008-12-14,61,0
2008-12-21,40,0
2008-12-28,47,0
