Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2017-01-01,59,84
2017-01-08,82,94
2017-01-15,89,95
2017-01-22,78,100
2017-01-29,75,95
2017-02-05,77,99
2017-02-12,74,95
2017-02-19,77,87
2017-02-26,74,96
2017-03-05,82,94
2017-03-12,83,98
2017-03-19,77,86
2017-03-26,85,98
2017-04-02,64,79
2017-04-09,63,84
2017-04-16,63,74
2017-04-23,74,89
2017-04-30,80,77
2017-05-07,83,81
2017-05-14,82,85
2017-05-21,82,84
2017-05-28,95,75
2017-06-04,87,70
2017-06-11,75,72
2017-06-18,56,66
2017-06-25,57,72
2017-07-02,62,76
2017-07-09,55,80
2017-07-16,59,83
2017-07-23,48,89
2017-07-30,51,96
2017-08-06,46,81
2017-08-13,44,75
2017-08-20,50,88
2017-08-27,51,86
2017-09-03,50,73
2017-09-10,52,84
2017-09-17,58,87
2017-09-24,59,84
2017-10-01,57,88
2017-10-08,66,89
2017-10-15,69,80
2017-10-22,64,90
2017-10-29,63,92
2017-11-05,66,90
2017-11-12,83,75
2017-11-19,64,77
2017-11-26,70,85
2017-12-03,67,82
2017-12-10,71,75
2017-12-17,55,58
2017-12-24,64,64
2017-12-31,75,80
