Category: All categories

Week,Tobacco: (Portugal)
2010-01-03,85
2010-01-10,36
2010-01-17,34
2010-01-24,41
2010-01-31,40
2010-02-07,31
2010-02-14,52
2010-02-21,49
2010-02-28,39
2010-03-07,100
2010-03-14,37
2010-03-21,33
2010-03-28,37
2010-04-04,64
2010-04-11,0
2010-04-18,27
2010-04-25,27
2010-05-02,44
2010-05-09,0
2010-05-16,67
2010-05-23,28
2010-05-30,0
2010-06-06,0
2010-06-13,21
2010-06-20,0
2010-06-27,55
2010-07-04,33
2010-07-11,39
2010-07-18,99
2010-07-25,0
2010-08-01,28
2010-08-08,0
2010-08-15,60
2010-08-22,32
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,52
2010-09-26,0
2010-10-03,36
2010-10-10,0
2010-10-17,23
2010-10-24,43
2010-10-31,79
2010-11-07,37
2010-11-14,0
2010-11-21,18
2010-11-28,22
2010-12-05,60
2010-12-12,41
2010-12-19,37
2010-12-26,67
2011-01-02,43
2011-01-09,16
2011-01-16,75
2011-01-23,44
2011-01-30,54
2011-02-06,62
2011-02-13,28
2011-02-20,46
2011-02-27,0
2011-03-06,39
2011-03-13,58
2011-03-20,45
2011-03-27,43
2011-04-03,88
2011-04-10,56
2011-04-17,59
2011-04-24,72
2011-05-01,34
2011-05-08,44
2011-05-15,50
2011-05-22,38
2011-05-29,64
2011-06-05,56
2011-06-12,51
2011-06-19,59
2011-06-26,38
2011-07-03,16
2011-07-10,47
2011-07-17,11
2011-07-24,35
2011-07-31,35
2011-08-07,81
2011-08-14,55
2011-08-21,48
2011-08-28,36
2011-09-04,34
2011-09-11,49
2011-09-18,26
2011-09-25,59
2011-10-02,41
2011-10-09,59
2011-10-16,76
2011-10-23,33
2011-10-30,44
2011-11-06,10
2011-11-13,54
2011-11-20,36
2011-11-27,44
2011-12-04,46
2011-12-11,81
2011-12-18,62
2011-12-25,45
